Experiment,Version,Epoch,Train Loss,Validation Loss,Train IoU,Validation IoU,Train Accuracy,Validation Accuracy
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,13,0.34572966333793764,0.3353996819153947,0.5270249843597412,0.40902385115623474,0.8418132662773132,0.8293755650520325
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,14,0.345003314464543,0.34252057113309403,0.5237205624580383,0.3339858055114746,0.8407076597213745,0.8126201033592224
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,15,0.3482947273559831,0.38256833820942027,0.5213561058044434,0.3290112316608429,0.8390909433364868,0.8079693913459778
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,16,0.3413570240436502,0.33370794170531465,0.5293312072753906,0.37563109397888184,0.8428959846496582,0.8236565589904785
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,6,0.24393981904639891,0.2913260176343311,0.7005822658538818,0.6394965648651123,0.8964627385139465,0.8780472874641418
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,17,0.33624644918524804,0.34765623795304135,0.5367563366889954,0.5407445430755615,0.845980703830719,0.849317729473114
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,18,0.332892553686206,0.33236861351265834,0.5444740653038025,0.43361222743988037,0.8489028811454773,0.8329260945320129
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,19,0.3317695011695226,0.4899295927280217,0.5410940051078796,0.550123393535614,0.8484892845153809,0.7942463159561157
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,7,0.23581418154290562,0.2382446115526502,0.7082560658454895,0.7321705222129822,0.8994607329368591,0.9060692191123962
UNET_binary_grayscale_asphalt,UNET_binary_grayscale_asphalt_1704597437.863613,20,0.3284957201326664,0.5205236782333744,0.547542929649353,0.5409811735153198,0.8505203127861023,0.7822552919387817
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,1,0.313530422922131,0.2673143645056959,0.6138225197792053,0.7033844590187073,0.8639342784881592,0.8951609134674072
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,8,0.23199113628618234,0.23807824568910416,0.7131056785583496,0.7265331745147705,0.9011077880859375,0.9045218229293823
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,2,0.27525398603431694,0.2554367232914076,0.667999804019928,0.6927462816238403,0.8839390277862549,0.8939816951751709
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,9,0.22760464142331874,0.2407405865756241,0.7192134261131287,0.7365675568580627,0.9032869338989258,0.9066582322120667
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,3,0.2599553737404932,0.2547031373612233,0.6882809400558472,0.7057158350944519,0.891423761844635,0.8977356553077698
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,10,0.22407136151162754,0.2579563631123703,0.7228410243988037,0.7109856009483337,0.9046340584754944,0.8994455337524414
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,4,0.2499514094451144,0.28024533224606074,0.7001217603683472,0.642346978187561,0.8959361910820007,0.8799650073051453
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,11,0.2207963341257114,0.23021384832021352,0.7273905277252197,0.7451510429382324,0.9062415957450867,0.9098946452140808
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,5,0.24134297728326398,0.2589574888412169,0.7107347249984741,0.6590321660041809,0.8999117016792297,0.8852019309997559
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,12,0.21821707466955287,0.22758251946329391,0.7297894358634949,0.7550508379936218,0.907078206539154,0.9125486612319946
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,6,0.23359240518345953,0.2528560554786224,0.7185841798782349,0.6930126547813416,0.9029034376144409,0.8931853175163269
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,13,0.21547224579173474,0.22273496422349642,0.7332896590232849,0.746509850025177,0.9083989858627319,0.9109561443328857
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,7,0.2274262919412177,0.2742147229050166,0.7236490249633789,0.6026244759559631,0.904884934425354,0.8675507307052612
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,14,0.21420775737308523,0.22253946253068077,0.7363300919532776,0.7500381469726562,0.9093924164772034,0.9123769998550415
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704598639.714935,8,0.2210812671646953,0.22730356974164248,0.7304580807685852,0.6929594278335571,0.9073855876922607,0.8964595794677734
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_1704600440.442193,1,0.4425386017560959,0.39105446383357045,0.003464226145297289,0.0,0.8433664441108704,0.8537709712982178
UNET_binary_grayscale_tiles,UNET_binary_grayscale_tiles_1704600440.442193,2,0.38946428284049034,0.42643019422888756,0.0,0.0,0.8478021025657654,0.8537709712982178
UNET_binary_grayscale_grass,UNET_binary_grayscale_grass_1704597135.202978,15,0.21048189012128263,0.22187197476540657,0.7405347228050232,0.749122679233551,0.9110633730888367,0.9116860032081604
UNET_binary_grayscale_mozaik,UNET_binary_grayscale_mozaik_1704600437.00473,1,0.47177242136001585,0.42811074912548064,0.18116530776023865,0.3302086889743805,0.7655908465385437,0.8007022738456726
